,age,job,marital,education,balance,duration,campaign,previous,poutcome,default_cat,housing_cat,loan_cat,deposit_cat,recent_pdays
0,59,white-collar,married,secondary,2343,1042,1,0,unknown,0,1,0,1,0.0001
1,56,white-collar,married,secondary,45,1467,1,0,unknown,0,0,0,1,0.0001
2,41,technician,married,secondary,1270,1389,1,0,unknown,0,1,0,1,0.0001
3,55,pink-collar,married,secondary,2476,579,1,0,unknown,0,1,0,1,0.0001
4,54,white-collar,married,tertiary,184,673,2,0,unknown,0,0,0,1,0.0001
5,42,white-collar,single,tertiary,0,562,2,0,unknown,0,1,1,1,0.0001
6,56,white-collar,married,tertiary,830,1201,1,0,unknown,0,1,1,1,0.0001
7,60,other,divorced,secondary,545,1030,1,0,unknown,0,1,0,1,0.0001
8,37,technician,married,secondary,1,608,1,0,unknown,0,1,0,1,0.0001
9,28,pink-collar,single,secondary,5090,1297,3,0,unknown,0,1,0,1,0.0001
10,38,white-collar,single,secondary,100,786,1,0,unknown,0,1,0,1,0.0001
11,30,blue-collar,married,secondary,309,1574,2,0,unknown,0,1,0,1,0.0001
12,29,white-collar,married,tertiary,199,1689,4,0,unknown,0,1,1,1,0.0001
13,46,blue-collar,single,tertiary,460,1102,2,0,unknown,0,1,0,1,0.0001
14,31,technician,single,tertiary,703,943,2,0,unknown,0,1,0,1,0.0001
15,35,white-collar,divorced,tertiary,3837,1084,1,0,unknown,0,1,0,1,0.0001
16,32,blue-collar,single,primary,611,541,3,0,unknown,0,1,0,1,0.0001
17,49,pink-collar,married,secondary,-8,1119,1,0,unknown,0,1,0,1,0.0001
18,41,white-collar,married,secondary,55,1120,2,0,unknown,0,1,0,1,0.0001
19,49,white-collar,divorced,secondary,168,513,1,0,unknown,0,1,1,1,0.0001
20,28,white-collar,divorced,secondary,785,442,2,0,unknown,0,1,0,1,0.0001
21,43,white-collar,single,tertiary,2067,756,1,0,unknown,0,1,0,1,0.0001
22,43,white-collar,divorced,tertiary,388,2087,2,0,unknown,0,1,0,1,0.0001
23,43,blue-collar,married,primary,-192,1120,2,0,unknown,0,1,0,1,0.0001
24,37,other,single,secondary,381,985,2,0,unknown,0,1,0,1,0.0001
25,35,blue-collar,single,secondary,40,617,4,0,unknown,0,1,0,1,0.0001
26,31,technician,single,tertiary,22,483,3,0,unknown,0,1,0,1,0.0001
27,43,blue-collar,single,secondary,3,929,3,0,unknown,0,1,0,1,0.0001
28,31,white-collar,married,secondary,307,538,1,0,unknown,0,1,0,1,0.0001
29,28,blue-collar,single,secondary,759,710,1,0,unknown,0,1,0,1,0.0001
30,32,blue-collar,married,secondary,-1,653,1,0,unknown,1,1,0,1,0.0001
31,60,technician,married,primary,65,1028,2,0,unknown,0,1,0,1,0.0001
32,26,blue-collar,single,secondary,82,654,1,0,unknown,0,1,0,1,0.0001
33,40,blue-collar,married,secondary,10,1692,2,0,unknown,0,1,0,1,0.0001
34,33,blue-collar,divorced,primary,390,665,2,0,unknown,0,1,0,1,0.0001
35,32,white-collar,single,tertiary,311,757,2,0,unknown,0,0,0,1,0.0001
36,35,blue-collar,married,primary,414,504,4,0,unknown,0,0,0,1,0.0001
37,33,white-collar,divorced,secondary,5,1346,1,0,unknown,0,1,0,1,0.0001
38,38,white-collar,married,tertiary,119,568,4,0,unknown,0,1,0,1,0.0001
39,23,entrepreneur,single,primary,4,395,2,0,unknown,0,1,0,1,0.0001
40,60,blue-collar,married,primary,1262,1015,1,0,unknown,0,1,1,1,0.0001
41,48,white-collar,married,tertiary,1949,683,2,0,unknown,0,1,0,1,0.0001
42,45,entrepreneur,divorced,tertiary,-395,470,1,0,unknown,0,1,0,1,0.0001
43,36,blue-collar,married,secondary,1165,1001,4,0,unknown,0,1,0,1,0.0001
44,52,white-collar,married,unknown,2240,845,1,0,unknown,0,1,0,1,0.0001
45,35,blue-collar,divorced,primary,300,945,2,0,unknown,0,1,0,1,0.0001
46,43,technician,married,secondary,3285,1721,2,0,unknown,0,1,0,1,0.0001
